method,fraction,run,algorithm,auc_score
nnar,0.4,2,ModelScorer,0.7857142857142856
nnar,0.4,19,AUMScorer,0.7984191907173218
ncar,0.5,12,ModelScorer,0.9285714285714284
nar,0.3,18,RandomForestScorer,0.9426333067386476
ncar,0.35,5,RandomForestScorer,0.9468663261158092
nar,0.35,8,RandomForestScorer,0.9164454511537972
nar,0.2,7,RandomForestScorer,0.9340473996425744
ncar,0.45,13,ModelScorer,0.8571428571428571
nar,0.05,0,ModelScorer,1.0
nar,0.05,17,AUMScorer,0.8680742523204412
ncar,0.1,19,RandomForestScorer,0.9571814696733588
nar,0.15,11,AUMScorer,0.8685802030136113
nnar,0.25,9,AUMScorer,0.757746551365129
nnar,0.4,7,RandomForestScorer,0.9207385003716132
nnar,0.05,11,AUMScorer,0.9302807772949117
ncar,0.1,0,AUMScorer,0.7673113099876793
nnar,0.1,0,ModelScorer,0.9285714285714284
nnar,0.5,11,AUMScorer,0.8384878202964487
nar,0.5,8,ModelScorer,0.8571428571428572
ncar,0.05,17,AUMScorer,0.8600584090593174
ncar,0.15,19,RandomForestScorer,0.9518427116115274
nnar,0.3,2,AUMScorer,0.7778875412356764
nar,0.15,4,ModelScorer,0.9285714285714284
ncar,0.4,5,ModelScorer,0.9285714285714284
ncar,0.1,1,RandomForestScorer,0.9633104324001612
ncar,0.1,4,AUMScorer,0.8425444853733248
nar,0.15,15,RandomForestScorer,0.9528055056183944
ncar,0.4,8,ModelScorer,0.7142857142857142
nnar,0.4,7,ModelScorer,0.9285714285714284
nnar,0.45,19,ModelScorer,0.7142857142857142
nnar,0.5,9,ModelScorer,0.8571428571428571
ncar,0.05,9,RandomForestScorer,0.9698352910933808
nnar,0.05,8,RandomForestScorer,0.9749312092890036
nar,0.05,11,RandomForestScorer,0.9613422417929104
nar,0.45,8,RandomForestScorer,0.9256618996090344
ncar,0.5,11,ModelScorer,0.857142857142857
nar,0.35,1,AUMScorer,0.8262173157622021
nar,0.2,15,RandomForestScorer,0.9467475221543358
nar,0.05,7,ModelScorer,1.0
ncar,0.25,16,AUMScorer,0.7539332157431934
ncar,0.35,15,RandomForestScorer,0.9189752226381938
ncar,0.5,0,AUMScorer,0.689190070802651
ncar,0.3,6,AUMScorer,0.7741034760361394
nnar,0.2,13,RandomForestScorer,0.9469201330163688
ncar,0.35,18,AUMScorer,0.7850526206291442
nar,0.25,1,ModelScorer,0.8571428571428572
nnar,0.35,17,AUMScorer,0.772093116962772
ncar,0.25,4,RandomForestScorer,0.93849389826145
nar,0.35,17,RandomForestScorer,0.9339934328639854
nnar,0.2,16,AUMScorer,0.79806911059916
nnar,0.3,15,RandomForestScorer,0.943003840426993
nnar,0.25,3,RandomForestScorer,0.932817554893224
nnar,0.25,6,AUMScorer,0.7814442417764154
nnar,0.35,5,RandomForestScorer,0.934314619059644
nar,0.35,13,ModelScorer,0.8571428571428571
nar,0.5,12,AUMScorer,0.8283462657714049
ncar,0.3,18,ModelScorer,0.9285714285714286
nar,0.4,1,AUMScorer,0.7989759849887991
ncar,0.2,7,ModelScorer,0.9285714285714286
nar,0.05,8,ModelScorer,0.9285714285714284
nnar,0.5,0,AUMScorer,0.7313661583515222
ncar,0.45,17,AUMScorer,0.6609820620079409
nnar,0.25,18,ModelScorer,0.8571428571428572
ncar,0.4,15,RandomForestScorer,0.9086356076832036
nar,0.1,6,RandomForestScorer,0.950760779178881
nnar,0.4,14,RandomForestScorer,0.913393356392254
ncar,0.45,5,RandomForestScorer,0.9325784400659564
nnar,0.4,17,AUMScorer,0.7088070975206751
ncar,0.45,1,ModelScorer,0.7857142857142857
nar,0.4,13,ModelScorer,0.9285714285714284
nnar,0.45,0,ModelScorer,0.7857142857142857
nar,0.45,3,ModelScorer,0.7857142857142856
nar,0.25,17,RandomForestScorer,0.94599116834373
nar,0.4,2,AUMScorer,0.7790166049482693
nnar,0.45,18,AUMScorer,0.742761935832365
ncar,0.3,9,AUMScorer,0.7956895423129702
nar,0.3,11,AUMScorer,0.8069819828434821
ncar,0.1,15,AUMScorer,0.8234795899255234
nnar,0.05,4,ModelScorer,1.0
ncar,0.15,5,AUMScorer,0.8051459224832929
ncar,0.1,3,RandomForestScorer,0.962223544657542
ncar,0.2,14,RandomForestScorer,0.9404524050562566
nar,0.2,11,ModelScorer,0.9285714285714286
nnar,0.15,14,RandomForestScorer,0.9540709993516842
ncar,0.2,10,ModelScorer,0.9285714285714286
ncar,0.35,11,ModelScorer,0.8571428571428571
nnar,0.2,9,ModelScorer,0.9285714285714286
ncar,0.25,0,ModelScorer,0.9285714285714286
ncar,0.15,17,ModelScorer,0.9285714285714284
nar,0.5,9,RandomForestScorer,0.9234017685202678
nnar,0.3,11,ModelScorer,0.8571428571428572
ncar,0.45,8,RandomForestScorer,0.9260933479381472
nnar,0.45,7,RandomForestScorer,0.9268728140783694
nnar,0.45,10,AUMScorer,0.7610860631895092
nnar,0.1,17,ModelScorer,1.0
ncar,0.1,4,RandomForestScorer,0.9688430382295988
nar,0.05,7,AUMScorer,0.8778601369031721
ncar,0.25,18,AUMScorer,0.7513930002923941
ncar,0.1,0,ModelScorer,1.0
nnar,0.35,16,RandomForestScorer,0.9327466533512828
ncar,0.4,11,ModelScorer,1.0
nar,0.1,2,ModelScorer,1.0
ncar,0.05,12,RandomForestScorer,0.9670211955528696
nnar,0.05,11,RandomForestScorer,0.9689245514814366
nnar,0.05,14,AUMScorer,0.914765376514869
nar,0.35,4,AUMScorer,0.8201572775156304
ncar,0.15,8,AUMScorer,0.7545820499483369
nar,0.25,13,ModelScorer,1.0
nnar,0.15,7,AUMScorer,0.8168203979273726
ncar,0.45,19,AUMScorer,0.7074243617394417
ncar,0.25,19,AUMScorer,0.7747456356440402
ncar,0.3,6,RandomForestScorer,0.9391684324725224
nar,0.15,10,AUMScorer,0.809591961817961
nar,0.2,14,ModelScorer,0.9285714285714286
ncar,0.2,17,RandomForestScorer,0.9371299910198932
nnar,0.2,16,RandomForestScorer,0.9567046726843176
ncar,0.25,7,RandomForestScorer,0.9496842430724424
nnar,0.2,19,AUMScorer,0.7724733375377417
nnar,0.25,6,RandomForestScorer,0.9367012573096194
nar,0.35,16,ModelScorer,1.0
nnar,0.25,2,ModelScorer,1.0
nar,0.5,12,RandomForestScorer,0.889693031047761
nar,0.45,3,AUMScorer,0.8198064657616823
nar,0.5,15,AUMScorer,0.7943286185049924
nnar,0.4,1,AUMScorer,0.7265258539555675
