method,fraction,run,algorithm,auc_score
ncar,0.3,13,AUMScorer,0.5132825050023662
ncar,0.45,4,RandomForestScorer,0.7872817804458772
nar,0.15,14,RandomForestScorer,0.8418385808285213
ncar,0.35,3,AUMScorer,0.5218006744886503
nnar,0.5,2,ModelScorer,0.5714285714285714
nar,0.05,0,AUMScorer,0.7398896391168829
nar,0.4,0,ModelScorer,0.7142857142857143
ncar,0.1,19,AUMScorer,0.5052096697579389
nnar,0.1,8,ModelScorer,0.8571428571428571
ncar,0.15,9,AUMScorer,0.6358557433604821
nar,0.3,18,ModelScorer,0.7142857142857143
nar,0.35,8,ModelScorer,0.7142857142857142
ncar,0.35,13,RandomForestScorer,0.8057060711940438
ncar,0.15,15,ModelScorer,0.7857142857142857
nnar,0.5,10,RandomForestScorer,0.7975220935769884
nar,0.25,19,ModelScorer,0.7857142857142857
ncar,0.1,16,ModelScorer,0.7857142857142857
nar,0.4,8,RandomForestScorer,0.8324962082845109
ncar,0.5,14,AUMScorer,0.4482010367593529
nnar,0.15,6,RandomForestScorer,0.8374227377297355
ncar,0.4,3,AUMScorer,0.5218785145970019
nar,0.1,13,AUMScorer,0.7272540016454951
nnar,0.15,9,ModelScorer,0.6428571428571429
nar,0.35,16,RandomForestScorer,0.8384921812999914
nar,0.15,3,AUMScorer,0.6851103556749196
ncar,0.4,9,ModelScorer,0.7857142857142857
nar,0.3,17,RandomForestScorer,0.8419218158041899
nnar,0.3,10,ModelScorer,0.7142857142857143
ncar,0.2,15,ModelScorer,0.7857142857142857
ncar,0.1,2,RandomForestScorer,0.8473073154487464
ncar,0.25,5,ModelScorer,0.8571428571428571
nnar,0.5,8,AUMScorer,0.5978753039125584
nar,0.15,9,ModelScorer,0.7857142857142857
nnar,0.25,15,AUMScorer,0.5914891548858054
nnar,0.45,9,AUMScorer,0.5431094106824893
nnar,0.2,6,RandomForestScorer,0.8107862014964149
nnar,0.05,18,RandomForestScorer,0.8564323529465544
nar,0.45,18,AUMScorer,0.448499792032741
nar,0.05,2,RandomForestScorer,0.8944951443591778
nar,0.5,8,AUMScorer,0.5230605563895596
ncar,0.3,18,ModelScorer,0.8571428571428571
ncar,0.35,8,ModelScorer,0.7142857142857143
nnar,0.1,5,AUMScorer,0.6781118328646177
ncar,0.45,7,RandomForestScorer,0.7986959271252778
nnar,0.35,8,RandomForestScorer,0.8296034112728181
ncar,0.25,13,RandomForestScorer,0.833142836356147
nnar,0.3,9,RandomForestScorer,0.8150620382107769
ncar,0.15,12,AUMScorer,0.6730610036011909
ncar,0.05,3,ModelScorer,0.8571428571428572
nar,0.2,7,RandomForestScorer,0.8320593339533968
nnar,0.05,16,AUMScorer,0.755811917264352
nar,0.35,11,ModelScorer,0.6428571428571428
nnar,0.25,16,AUMScorer,0.667338388804785
ncar,0.4,17,ModelScorer,0.7857142857142857
ncar,0.5,19,ModelScorer,0.6428571428571429
ncar,0.05,11,RandomForestScorer,0.8817017372983923
nnar,0.4,8,RandomForestScorer,0.8139954089372166
nnar,0.3,7,AUMScorer,0.6038751608804667
nnar,0.2,1,ModelScorer,0.6428571428571428
nnar,0.05,13,ModelScorer,0.8571428571428571
ncar,0.25,2,AUMScorer,0.6288656291760446
nnar,0.35,19,AUMScorer,0.6357074542980262
nar,0.2,5,AUMScorer,0.5250786822123146
nar,0.25,17,AUMScorer,0.5498306752283527
ncar,0.45,15,RandomForestScorer,0.8036802905198379
nnar,0.5,13,ModelScorer,0.7857142857142857
nar,0.3,7,AUMScorer,0.6806469039205632
nnar,0.35,3,ModelScorer,0.7857142857142857
nar,0.4,11,ModelScorer,0.7857142857142857
nnar,0.1,19,ModelScorer,0.7857142857142857
nar,0.45,1,ModelScorer,0.7857142857142858
nnar,0.3,4,ModelScorer,0.7857142857142857
nar,0.2,2,ModelScorer,0.7142857142857143
nar,0.05,5,RandomForestScorer,0.8713696331186471
nnar,0.45,18,AUMScorer,0.5430422946449484
nar,0.1,19,ModelScorer,0.7857142857142857
nnar,0.35,11,RandomForestScorer,0.8063697549171818
nnar,0.4,19,AUMScorer,0.5933693993672351
ncar,0.05,0,AUMScorer,0.6036167599715505
ncar,0.25,3,AUMScorer,0.5131802939535102
ncar,0.15,17,ModelScorer,0.7857142857142857
nar,0.45,9,RandomForestScorer,0.8323645814499238
nnar,0.15,17,RandomForestScorer,0.8204065101208515
nnar,0.4,3,ModelScorer,0.8571428571428571
nnar,0.2,9,ModelScorer,0.7857142857142857
nar,0.25,0,RandomForestScorer,0.824073367073153
nar,0.1,5,RandomForestScorer,0.8648314323375778
ncar,0.3,16,AUMScorer,0.5500717545036603
nar,0.15,17,RandomForestScorer,0.8480074887595976
ncar,0.35,6,AUMScorer,0.5101031959157393
nar,0.05,3,AUMScorer,0.6701296883905309
ncar,0.45,10,ModelScorer,0.9285714285714284
ncar,0.5,0,ModelScorer,0.8571428571428572
nnar,0.3,12,ModelScorer,0.7857142857142857
nnar,0.4,11,RandomForestScorer,0.8215730397731951
nnar,0.2,17,RandomForestScorer,0.8119119367555412
nnar,0.45,1,RandomForestScorer,0.7906695196546589
nar,0.2,10,ModelScorer,0.9285714285714286
ncar,0.15,18,ModelScorer,0.6428571428571429
nar,0.05,13,RandomForestScorer,0.9082920155597723
nar,0.5,19,AUMScorer,0.4675634044406662
nnar,0.35,0,AUMScorer,0.5484178318042643
nnar,0.1,16,AUMScorer,0.5998109909065139
ncar,0.5,8,RandomForestScorer,0.8064252077571825
nar,0.35,0,AUMScorer,0.6176784995107771
ncar,0.2,12,AUMScorer,0.7864648068314348
ncar,0.4,6,AUMScorer,0.8311022806323384
nar,0.45,4,ModelScorer,0.7142857142857143
nar,0.1,16,AUMScorer,0.7435274498765653
ncar,0.05,14,ModelScorer,0.8571428571428571
nnar,0.15,12,ModelScorer,0.9285714285714284
nar,0.35,19,RandomForestScorer,0.8340511812441498
nar,0.15,6,AUMScorer,0.7116210111375102
nar,0.2,18,RandomForestScorer,0.8438970790444469
ncar,0.15,4,RandomForestScorer,0.8592860590166409
nar,0.25,8,RandomForestScorer,0.8402573347359354
nnar,0.1,13,ModelScorer,0.8571428571428571
ncar,0.2,18,ModelScorer,0.6428571428571429
nar,0.1,0,ModelScorer,0.9285714285714284
ncar,0.1,5,RandomForestScorer,0.8667703770559151
ncar,0.25,8,ModelScorer,0.7857142857142857
nnar,0.5,11,AUMScorer,0.7352206563987524
nnar,0.4,0,AUMScorer,0.5441119916918246
nar,0.05,14,RandomForestScorer,0.8905596938588939
nar,0.4,9,AUMScorer,0.6163943682730266
nnar,0.2,12,ModelScorer,0.7857142857142857
nnar,0.4,6,ModelScorer,0.7857142857142857
ncar,0.2,4,RandomForestScorer,0.8428645110209736
nnar,0.1,8,AUMScorer,0.693371656008646
nnar,0.25,2,ModelScorer,0.7857142857142857
nar,0.05,8,ModelScorer,0.8571428571428571
nar,0.1,8,RandomForestScorer,0.8622282456700691
ncar,0.25,16,RandomForestScorer,0.8155600677327575
nar,0.4,19,RandomForestScorer,0.8317650244140479
nar,0.3,18,AUMScorer,0.5653707341997314
ncar,0.1,3,AUMScorer,0.6082552383312589
nar,0.35,8,AUMScorer,0.3768026087658128
ncar,0.5,3,ModelScorer,0.7142857142857143
ncar,0.15,15,AUMScorer,0.5437207808398548
nnar,0.3,15,ModelScorer,0.7142857142857143
ncar,0.3,7,RandomForestScorer,0.8249622445146394
nnar,0.05,19,AUMScorer,0.712107608218268
ncar,0.35,19,RandomForestScorer,0.8089635531238923
nar,0.2,13,ModelScorer,0.8571428571428571
nar,0.35,14,ModelScorer,0.8571428571428572
nar,0.25,3,ModelScorer,0.8571428571428571
ncar,0.1,0,ModelScorer,0.8571428571428571
nnar,0.15,9,AUMScorer,0.7137254499049646
nnar,0.1,0,RandomForestScorer,0.8452569567665728
ncar,0.4,9,AUMScorer,0.5627262611401953
nnar,0.3,10,AUMScorer,0.6699691826672853
ncar,0.2,15,AUMScorer,0.7161452328277023
ncar,0.25,5,AUMScorer,0.760238938283772
nar,0.15,9,AUMScorer,0.5978820880575326
nar,0.2,8,AUMScorer,0.6843735886681022
ncar,0.45,18,RandomForestScorer,0.8049201350271445
nnar,0.5,16,ModelScorer,0.7142857142857143
ncar,0.35,17,AUMScorer,0.5733210546484175
ncar,0.25,11,ModelScorer,0.7857142857142857
nar,0.1,3,ModelScorer,0.8571428571428571
nnar,0.35,6,ModelScorer,0.7142857142857143
nar,0.4,14,ModelScorer,0.5714285714285714
nnar,0.05,2,RandomForestScorer,0.8716374735316148
nar,0.45,2,AUMScorer,0.5062004868459199
ncar,0.05,12,AUMScorer,0.7372324954646815
ncar,0.3,2,ModelScorer,0.7857142857142857
ncar,0.35,14,ModelScorer,0.7857142857142857
nar,0.45,12,RandomForestScorer,0.8306789780804369
nar,0.35,11,AUMScorer,0.5702417577593565
nar,0.3,2,RandomForestScorer,0.8379783519735021
ncar,0.4,17,AUMScorer,0.594231783197359
nnar,0.05,0,AUMScorer,0.6718288560183168
ncar,0.35,0,RandomForestScorer,0.8134966251033937
nnar,0.25,0,AUMScorer,0.6249230613638603
nar,0.05,6,AUMScorer,0.6657277759151432
ncar,0.45,13,ModelScorer,0.7142857142857142
nnar,0.2,1,AUMScorer,0.6396418060684494
nnar,0.4,14,RandomForestScorer,0.8203329050720247
ncar,0.5,1,AUMScorer,0.5078371499345373
nnar,0.45,4,RandomForestScorer,0.8102416299881942
nnar,0.25,10,RandomForestScorer,0.8128104910717981
nnar,0.3,13,AUMScorer,0.6302039825724975
nar,0.05,16,RandomForestScorer,0.8854127538716845
nnar,0.35,3,AUMScorer,0.704165817855479
nar,0.4,11,AUMScorer,0.5240147538940938
nar,0.2,11,AUMScorer,0.6194242363516558
nnar,0.1,19,AUMScorer,0.7351015416972
nnar,0.45,7,ModelScorer,0.6428571428571429
nar,0.25,1,AUMScorer,0.7391678869717291
ncar,0.5,11,RandomForestScorer,0.8001129977266764
nar,0.45,7,ModelScorer,0.8571428571428571
nar,0.1,19,AUMScorer,0.6351392969006806
ncar,0.05,17,ModelScorer,0.8571428571428571
nnar,0.15,15,ModelScorer,0.8571428571428571
nar,0.25,11,RandomForestScorer,0.8502211562316487
nnar,0.5,5,RandomForestScorer,0.7786301868065506
nnar,0.5,14,AUMScorer,0.5101626526809571
nnar,0.4,3,AUMScorer,0.5774590917346869
ncar,0.1,11,ModelScorer,0.7142857142857143
nar,0.4,3,RandomForestScorer,0.8343651681587965
nnar,0.2,9,AUMScorer,0.7808249273030339
nar,0.4,12,AUMScorer,0.6845977292840074
nnar,0.15,1,RandomForestScorer,0.8221774006354243
nar,0.5,5,RandomForestScorer,0.8301904814908418
nnar,0.2,15,ModelScorer,0.8571428571428571
ncar,0.45,10,AUMScorer,0.5130050765377285
ncar,0.2,7,RandomForestScorer,0.8338124536422464
nnar,0.1,2,RandomForestScorer,0.8430926902723797
nnar,0.25,5,ModelScorer,0.7857142857142857
nar,0.05,11,ModelScorer,0.7857142857142857
ncar,0.3,0,AUMScorer,0.6031719554325332
nar,0.1,11,RandomForestScorer,0.8716305209881221
ncar,0.4,1,RandomForestScorer,0.7945593010333067
nar,0.15,1,RandomForestScorer,0.8429212470023058
ncar,0.4,4,ModelScorer,0.7857142857142857
ncar,0.25,19,RandomForestScorer,0.8226088646819989
nnar,0.25,3,AUMScorer,0.6531264936952026
