method,fraction,run,algorithm,auc_score
nnar,0.15,4,AUMScorer,0.7409843561291031
nnar,0.05,7,ModelScorer,0.9285714285714284
ncar,0.45,4,RandomForestScorer,0.7793456579775898
ncar,0.35,14,ModelScorer,0.7857142857142857
nnar,0.2,11,ModelScorer,0.8571428571428571
ncar,0.4,5,RandomForestScorer,0.7823858425523595
nar,0.3,13,ModelScorer,0.8571428571428571
nnar,0.2,13,AUMScorer,0.5073788908143217
nnar,0.4,7,AUMScorer,0.4994297459971976
nar,0.2,2,ModelScorer,0.9285714285714284
nnar,0.25,3,AUMScorer,0.870161231719168
ncar,0.5,17,RandomForestScorer,0.774177305593939
nar,0.25,16,AUMScorer,0.5192566207202328
nar,0.3,6,AUMScorer,0.9142655750264556
nar,0.5,0,AUMScorer,0.9623760628828284
nnar,0.15,19,ModelScorer,0.5714285714285714
nar,0.45,16,RandomForestScorer,0.7862926959373702
nnar,0.3,14,ModelScorer,0.5
nnar,0.4,4,RandomForestScorer,0.7327887155018434
nnar,0.3,16,AUMScorer,0.9523884304738246
ncar,0.05,2,AUMScorer,0.9433736627309748
nnar,0.35,6,AUMScorer,0.9030410869868593
ncar,0.05,8,RandomForestScorer,0.90853208492155
ncar,0.4,14,ModelScorer,0.6428571428571428
ncar,0.45,4,ModelScorer,0.6428571428571428
ncar,0.4,16,AUMScorer,0.4987543509711166
nnar,0.05,1,AUMScorer,0.9117784180811512
nar,0.4,5,RandomForestScorer,0.7532511022094363
ncar,0.2,7,AUMScorer,0.9121824069485064
nnar,0.4,13,ModelScorer,0.7142857142857143
ncar,0.2,13,RandomForestScorer,0.822763593721251
ncar,0.15,14,AUMScorer,0.9466921984984698
nar,0.15,5,ModelScorer,0.8571428571428571
ncar,0.3,15,RandomForestScorer,0.8035870056046674
nar,0.45,16,ModelScorer,0.6428571428571428
nar,0.1,13,RandomForestScorer,0.8676450993528687
nnar,0.5,17,AUMScorer,0.7004417365567853
nar,0.15,7,AUMScorer,0.944844760770591
nar,0.45,18,AUMScorer,0.5004608508153177
nnar,0.15,13,RandomForestScorer,0.8295005768873891
ncar,0.45,7,RandomForestScorer,0.7862734547091795
nar,0.05,1,ModelScorer,1.0
nar,0.15,4,RandomForestScorer,0.838168513827095
ncar,0.4,8,AUMScorer,0.9625730700949072
nar,0.2,5,ModelScorer,0.9285714285714284
nnar,0.25,6,AUMScorer,0.92952345483459
nnar,0.4,7,RandomForestScorer,0.7824867271675331
nar,0.45,19,RandomForestScorer,0.6234519204327509
nar,0.3,9,AUMScorer,0.9692842461481376
ncar,0.35,16,AUMScorer,0.9648100798432389
nar,0.35,7,ModelScorer,0.6428571428571428
nar,0.5,9,RandomForestScorer,0.7520588999974502
nnar,0.2,13,RandomForestScorer,0.7605208976749597
nnar,0.25,3,RandomForestScorer,0.8008096795976383
nar,0.3,15,RandomForestScorer,0.8026345856115064
nar,0.1,15,AUMScorer,0.9221263416729616
ncar,0.05,11,RandomForestScorer,0.9099811370366644
nnar,0.35,15,RandomForestScorer,0.7267093284885412
ncar,0.45,7,ModelScorer,0.7142857142857142
nar,0.35,0,AUMScorer,0.5048376909013554
nnar,0.15,15,AUMScorer,0.9451044495638784
nnar,0.3,16,RandomForestScorer,0.7646064579024374
nar,0.4,6,ModelScorer,0.8571428571428572
ncar,0.1,3,ModelScorer,0.9285714285714286
nar,0.4,8,AUMScorer,0.4993769189915858
nnar,0.4,16,ModelScorer,0.6428571428571428
ncar,0.4,16,RandomForestScorer,0.790677126857848
nnar,0.25,12,ModelScorer,0.7142857142857142
ncar,0.1,5,AUMScorer,0.9624808057602864
ncar,0.15,17,AUMScorer,0.9473428210001512
ncar,0.25,6,RandomForestScorer,0.8123146864946285
nnar,0.45,8,AUMScorer,0.6848490542967539
nnar,0.05,1,RandomForestScorer,0.8415293143687347
