method,fraction,run,algorithm,auc_score
ncar,0.35,6,RandomForestScorer,0.704614829298426
ncar,0.35,6,ModelScorer,0.8571428571428571
ncar,0.35,7,AUMScorer,0.5362321238855755
ncar,0.35,7,RandomForestScorer,0.6606854963257348
ncar,0.35,7,ModelScorer,0.6428571428571428
ncar,0.35,8,AUMScorer,0.4807448083701833
ncar,0.35,8,RandomForestScorer,0.6596620393952298
ncar,0.35,8,ModelScorer,0.6428571428571429
ncar,0.35,9,AUMScorer,0.4743053201899906
ncar,0.35,9,RandomForestScorer,0.635025971588282
ncar,0.35,9,ModelScorer,0.4285714285714286
ncar,0.4,0,AUMScorer,0.526415965597884
ncar,0.4,0,RandomForestScorer,0.6386762976992162
ncar,0.4,0,ModelScorer,0.7857142857142857
ncar,0.4,1,AUMScorer,0.520299033516179
ncar,0.4,1,RandomForestScorer,0.654277684709796
ncar,0.4,1,ModelScorer,0.6428571428571429
ncar,0.4,2,AUMScorer,0.542557128641538
ncar,0.4,2,RandomForestScorer,0.6456446001333191
ncar,0.4,2,ModelScorer,0.6428571428571428
ncar,0.4,3,AUMScorer,0.432505924511597
ncar,0.4,3,RandomForestScorer,0.6695200795644498
ncar,0.4,3,ModelScorer,0.4285714285714286
ncar,0.4,4,AUMScorer,0.4486730316925079
ncar,0.4,4,RandomForestScorer,0.6841490717176202
ncar,0.4,4,ModelScorer,0.5714285714285714
ncar,0.4,5,AUMScorer,0.7069677262593173
ncar,0.4,5,RandomForestScorer,0.6918675015538909
ncar,0.4,5,ModelScorer,0.4285714285714285
ncar,0.4,6,AUMScorer,0.5354057320191891
ncar,0.4,6,RandomForestScorer,0.6477121760412873
ncar,0.4,6,ModelScorer,0.7857142857142858
ncar,0.4,7,AUMScorer,0.6052787294383617
ncar,0.4,7,RandomForestScorer,0.6495678465743231
ncar,0.4,7,ModelScorer,0.7142857142857142
ncar,0.4,8,AUMScorer,0.5816486248602337
ncar,0.4,8,RandomForestScorer,0.6572775555971779
ncar,0.4,8,ModelScorer,0.5714285714285714
ncar,0.4,9,AUMScorer,0.5488453122328021
ncar,0.4,9,RandomForestScorer,0.6925454326699243
ncar,0.4,9,ModelScorer,0.7142857142857142
ncar,0.45,0,AUMScorer,0.4444233368646864
ncar,0.45,0,RandomForestScorer,0.6793016602744247
ncar,0.45,0,ModelScorer,0.6428571428571428
ncar,0.45,1,AUMScorer,0.4782456791752518
ncar,0.45,1,RandomForestScorer,0.6557632572424936
ncar,0.45,1,ModelScorer,0.7142857142857142
ncar,0.45,2,AUMScorer,0.3352994147449016
ncar,0.45,2,RandomForestScorer,0.5827505190250769
ncar,0.45,2,ModelScorer,0.6428571428571428
ncar,0.45,3,AUMScorer,0.4969943321754615
ncar,0.45,3,RandomForestScorer,0.6562952803258416
ncar,0.45,3,ModelScorer,0.5
ncar,0.45,4,AUMScorer,0.780334012789639
ncar,0.45,4,RandomForestScorer,0.6776779288125621
ncar,0.45,4,ModelScorer,0.8571428571428571
ncar,0.45,5,AUMScorer,0.6015258698203634
ncar,0.45,5,RandomForestScorer,0.5698347076062396
ncar,0.45,5,ModelScorer,0.5
ncar,0.45,6,AUMScorer,0.4794441933130124
ncar,0.45,6,RandomForestScorer,0.6759221609462741
ncar,0.45,6,ModelScorer,0.6428571428571428
ncar,0.45,7,AUMScorer,0.569093556653627
ncar,0.45,7,RandomForestScorer,0.6606474008136534
ncar,0.45,7,ModelScorer,0.6428571428571429
ncar,0.45,8,AUMScorer,0.3925350627762392
ncar,0.45,8,RandomForestScorer,0.6332379051700163
ncar,0.45,8,ModelScorer,0.6428571428571428
ncar,0.45,9,AUMScorer,0.6473640096817379
ncar,0.45,9,RandomForestScorer,0.6070290491093935
ncar,0.45,9,ModelScorer,0.6428571428571428
ncar,0.5,0,AUMScorer,0.4312762747176817
ncar,0.5,0,RandomForestScorer,0.5407930356447914
ncar,0.5,0,ModelScorer,0.5
ncar,0.5,1,AUMScorer,0.4151558830036534
ncar,0.5,1,RandomForestScorer,0.5777738428549628
ncar,0.5,1,ModelScorer,0.5714285714285714
ncar,0.5,2,AUMScorer,0.506506485200919
ncar,0.5,2,RandomForestScorer,0.5713938164755346
ncar,0.5,2,ModelScorer,0.4285714285714286
ncar,0.5,3,AUMScorer,0.2829493975171649
ncar,0.5,3,RandomForestScorer,0.5514093754254066
ncar,0.5,3,ModelScorer,0.6428571428571428
ncar,0.5,4,AUMScorer,0.4691827882098083
ncar,0.5,4,RandomForestScorer,0.6158863655072984
ncar,0.5,4,ModelScorer,0.5714285714285714
ncar,0.5,5,AUMScorer,0.5477381140866073
ncar,0.5,5,RandomForestScorer,0.5905383665768036
ncar,0.5,5,ModelScorer,0.5714285714285714
ncar,0.5,6,AUMScorer,0.5955410452294708
ncar,0.5,6,RandomForestScorer,0.6361528909947733
ncar,0.5,6,ModelScorer,0.6428571428571428
ncar,0.5,7,AUMScorer,0.3562782651013026
ncar,0.5,7,RandomForestScorer,0.5335683506867838
ncar,0.5,7,ModelScorer,0.4285714285714285
ncar,0.5,8,AUMScorer,0.5912263493894847
ncar,0.5,8,RandomForestScorer,0.5334483218788859
ncar,0.5,8,ModelScorer,0.7857142857142856
ncar,0.5,9,AUMScorer,0.3795190665206226
ncar,0.5,9,RandomForestScorer,0.5873441975052277
